Encontrado: typedef en linea 3, posicion 0
Encontrado: struct en linea 3, posicion 0
Encontrado: char en linea 5, posicion 0
Encontrado: char en linea 6, posicion 0
Encontrado: float en linea 7, posicion 0
Encontrado: int en linea 8, posicion 0
Encontrado: void en linea 11, posicion 0
Encontrado: void en linea 12, posicion 0
Encontrado: void en linea 13, posicion 0
Encontrado: int en linea 15, posicion 0
Encontrado: return en linea 23, posicion 0
Encontrado: sizeof en linea 26, posicion 15
Encontrado: return en linea 31, posicion 0
Encontrado: void en linea 33, posicion 0
Encontrado: void en linea 43, posicion 0
Encontrado: void en linea 49, posicion 0
